date,transaction_id,amount,net_worth,item_purchased,category,merchant,payment_method
2024-01-01,TXN-001,-45.67,85432.50,Groceries - Weekly Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-01-02,TXN-002,-12.99,85419.51,Netflix Subscription,Entertainment,Netflix,Credit Card
2024-01-03,TXN-003,2500.00,87919.51,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-01-04,TXN-004,-89.34,87830.17,Gas Station Fill-up,Transportation,Shell,Debit Card
2024-01-05,TXN-005,-156.78,87673.39,Dinner at Restaurant,Food & Dining,The Olive Garden,Credit Card
2024-01-06,TXN-006,-67.45,87605.94,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-01-07,TXN-007,-1200.00,86405.94,Rent Payment,Housing,Apartment Complex,Bank Transfer
2024-01-08,TXN-008,-89.99,86315.95,Internet & Cable Bill,Utilities,Comcast,Auto Pay
2024-01-09,TXN-009,-234.56,86081.39,Clothing Shopping,Shopping,Target,Credit Card
2024-01-10,TXN-010,-45.23,86036.16,Coffee & Breakfast,Food & Dining,Starbucks,Credit Card
2024-01-11,TXN-011,-78.90,85957.26,Pharmacy Prescription,Healthcare,CVS Pharmacy,Credit Card
2024-01-12,TXN-012,-125.67,85831.59,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-01-13,TXN-013,-34.99,85796.60,Book Purchase,Education,Amazon,Credit Card
2024-01-14,TXN-014,-567.89,85228.71,Car Insurance,Transportation,State Farm,Auto Pay
2024-01-15,TXN-015,2500.00,87728.71,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-01-16,TXN-016,-89.45,87639.26,Gas Station,Transportation,Chevron,Credit Card
2024-01-17,TXN-017,-145.67,87493.59,Dinner Date,Food & Dining,Italian Bistro,Credit Card
2024-01-18,TXN-018,-67.34,87426.25,Grocery Shopping,Food & Dining,Whole Foods Market,Debit Card
2024-01-19,TXN-019,-23.45,87402.80,Movie Tickets,Entertainment,AMC Theaters,Credit Card
2024-01-20,TXN-020,-189.99,87212.81,Gym Membership,Health & Fitness,Planet Fitness,Auto Pay
2024-01-21,TXN-021,-45.67,87167.14,Lunch Meeting,Food & Dining,Panera Bread,Credit Card
2024-01-22,TXN-022,-234.56,86932.58,Home Improvement,Shopping,Home Depot,Credit Card
2024-01-23,TXN-023,-78.90,86853.68,Utilities Bill,Utilities,Pacific Gas & Electric,Auto Pay
2024-01-24,TXN-024,-123.45,86730.23,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-01-25,TXN-025,-56.78,86673.45,Coffee Shop,Food & Dining,Local Coffee House,Cash
2024-01-26,TXN-026,-345.67,86327.78,Electronics Purchase,Shopping,Best Buy,Credit Card
2024-01-27,TXN-027,-89.23,86238.55,Car Maintenance,Transportation,AutoZone,Credit Card
2024-01-28,TXN-028,-167.89,86070.66,Dinner & Drinks,Food & Dining,Sports Bar,Credit Card
2024-01-29,TXN-029,-45.23,86025.43,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-01-30,TXN-030,2500.00,88525.43,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-01-31,TXN-031,-234.56,88290.87,Credit Card Payment,Bills,Chase Bank,Bank Transfer
2024-02-01,TXN-032,-67.89,88222.98,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-02-02,TXN-033,-12.99,88209.99,Spotify Premium,Entertainment,Spotify,Credit Card
2024-02-03,TXN-034,-45.67,88164.32,Fast Food Lunch,Food & Dining,McDonald's,Debit Card
2024-02-04,TXN-035,-189.45,87974.87,Car Payment,Transportation,Honda Finance,Auto Pay
2024-02-05,TXN-036,-78.90,87895.97,Phone Bill,Utilities,Verizon,Auto Pay
2024-02-06,TXN-037,-123.45,87772.52,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-02-07,TXN-038,-1200.00,86572.52,Rent Payment,Housing,Apartment Complex,Bank Transfer
2024-02-08,TXN-039,-234.56,86337.96,Shopping Spree,Shopping,Macy's,Credit Card
2024-02-09,TXN-040,-56.78,86281.18,Coffee & Pastry,Food & Dining,Starbucks,Credit Card
2024-02-10,TXN-041,-89.23,86191.95,Gas Station,Transportation,Shell,Debit Card
2024-02-11,TXN-042,-167.89,86024.06,Date Night Dinner,Food & Dining,Fine Dining Restaurant,Credit Card
2024-02-12,TXN-043,-45.23,85978.83,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-02-13,TXN-044,-78.90,85899.93,Health Insurance,Healthcare,Blue Cross,Auto Pay
2024-02-14,TXN-045,-234.56,85665.37,Valentine's Day Gifts,Shopping,Flower Shop,Credit Card
2024-02-15,TXN-046,2500.00,88165.37,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-02-16,TXN-047,-123.45,88041.92,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-02-17,TXN-048,-56.78,87985.14,Book Store,Education,Barnes & Noble,Credit Card
2024-02-18,TXN-049,-189.23,87795.91,Weekend Getaway,Travel,Hotel Booking,Credit Card
2024-02-19,TXN-050,-67.89,87728.02,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-02-20,TXN-051,-45.67,87682.35,Lunch,Food & Dining,Chipotle,Credit Card
2024-02-21,TXN-052,-234.56,87447.79,Clothing Shopping,Shopping,Nordstrom,Credit Card
2024-02-22,TXN-053,-89.23,87358.56,Car Wash & Detail,Transportation,Auto Spa,Cash
2024-02-23,TXN-054,-123.45,87235.11,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-02-24,TXN-055,-78.90,87156.21,Streaming Services,Entertainment,Amazon Prime,Credit Card
2024-02-25,TXN-056,-167.89,86988.32,Weekend Brunch,Food & Dining,Brunch Cafe,Credit Card
2024-02-26,TXN-057,-56.78,86931.54,Coffee Shop,Food & Dining,Local Coffee House,Cash
2024-02-27,TXN-058,-234.56,86696.98,Home Supplies,Shopping,Target,Credit Card
2024-02-28,TXN-059,-89.23,86607.75,Utilities Bill,Utilities,Water Company,Auto Pay
2024-02-29,TXN-060,2500.00,89107.75,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-03-01,TXN-061,-123.45,88984.30,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-03-02,TXN-062,-67.89,88916.41,Fast Casual Lunch,Food & Dining,Panera Bread,Debit Card
2024-03-03,TXN-063,-234.56,88681.85,Electronics Repair,Shopping,Apple Store,Credit Card
2024-03-04,TXN-064,-78.90,88602.95,Gas Station,Transportation,Chevron,Credit Card
2024-03-05,TXN-065,-156.78,88446.17,Dinner with Friends,Food & Dining,Restaurant Chain,Credit Card
2024-03-06,TXN-066,-45.67,88400.50,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-03-07,TXN-067,-1200.00,87200.50,Rent Payment,Housing,Apartment Complex,Bank Transfer
2024-03-08,TXN-068,-189.23,87011.27,Weekend Shopping,Shopping,Mall Department Store,Credit Card
2024-03-09,TXN-069,-89.45,86921.82,Car Insurance,Transportation,State Farm,Auto Pay
2024-03-10,TXN-070,-123.45,86798.37,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-03-11,TXN-071,-56.78,86741.59,Coffee & Snacks,Food & Dining,Starbucks,Credit Card
2024-03-12,TXN-072,-234.56,86507.03,Medical Appointment,Healthcare,Doctor's Office,Credit Card
2024-03-13,TXN-073,-78.90,86428.13,Phone Accessories,Shopping,Mobile Store,Credit Card
2024-03-14,TXN-074,-167.89,86260.24,Date Night,Food & Dining,Upscale Restaurant,Credit Card
2024-03-15,TXN-075,2500.00,88760.24,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-03-16,TXN-076,-123.45,88636.79,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-03-17,TXN-077,-89.23,88547.56,Gas Station,Transportation,Shell,Debit Card
2024-03-18,TXN-078,-234.56,88313.00,Spring Clothing,Shopping,Fashion Retailer,Credit Card
2024-03-19,TXN-079,-67.89,88245.11,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-03-20,TXN-080,-45.67,88199.44,Quick Lunch,Food & Dining,Fast Food Chain,Cash
2024-03-21,TXN-081,-156.78,88042.66,Gym Equipment,Health & Fitness,Sports Store,Credit Card
2024-03-22,TXN-082,-78.90,87963.76,Utilities Bill,Utilities,Electric Company,Auto Pay
2024-03-23,TXN-083,-234.56,87729.20,Weekend Activities,Entertainment,Event Tickets,Credit Card
2024-03-24,TXN-084,-123.45,87605.75,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-03-25,TXN-085,-89.23,87516.52,Car Maintenance,Transportation,Oil Change,Credit Card
2024-03-26,TXN-086,-167.89,87348.63,Night Out,Food & Dining,Bar & Grill,Credit Card
2024-03-27,TXN-087,-56.78,87291.85,Coffee Shop,Food & Dining,Local Coffee House,Cash
2024-03-28,TXN-088,-234.56,87057.29,Home Decor,Shopping,Furniture Store,Credit Card
2024-03-29,TXN-089,-78.90,86978.39,Internet Bill,Utilities,Internet Provider,Auto Pay
2024-03-30,TXN-090,2500.00,89478.39,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-03-31,TXN-091,-345.67,89132.72,Quarterly Investment,Investments,Vanguard,Bank Transfer
2024-04-01,TXN-092,-123.45,89009.27,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-04-02,TXN-093,-67.89,88941.38,Lunch Meeting,Food & Dining,Business Lunch,Credit Card
2024-04-03,TXN-094,-234.56,88706.82,Spring Wardrobe,Shopping,Department Store,Credit Card
2024-04-04,TXN-095,-89.23,88617.59,Gas Station,Transportation,Chevron,Credit Card
2024-04-05,TXN-096,-156.78,88460.81,Weekend Dinner,Food & Dining,Steakhouse,Credit Card
2024-04-06,TXN-097,-45.67,88415.14,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-04-07,TXN-098,-1200.00,87215.14,Rent Payment,Housing,Apartment Complex,Bank Transfer
2024-04-08,TXN-099,-189.23,87025.91,Electronics Shopping,Shopping,Electronics Store,Credit Card
2024-04-09,TXN-100,-78.90,86947.01,Car Payment,Transportation,Honda Finance,Auto Pay
2024-04-10,TXN-101,-123.45,86823.56,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-04-11,TXN-102,-56.78,86766.78,Coffee & Breakfast,Food & Dining,Starbucks,Credit Card
2024-04-12,TXN-103,-234.56,86532.22,Health Checkup,Healthcare,Medical Center,Credit Card
2024-04-13,TXN-104,-89.23,86443.00,Subscription Service,Entertainment,Streaming Platform,Credit Card
2024-04-14,TXN-105,-167.89,86275.11,Date Night Dinner,Food & Dining,Italian Restaurant,Credit Card
2024-04-15,TXN-106,2500.00,88775.11,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-04-16,TXN-107,-123.45,88651.66,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-04-17,TXN-108,-78.90,88572.76,Phone Bill,Utilities,Mobile Carrier,Auto Pay
2024-04-18,TXN-109,-234.56,88338.20,Spring Shopping,Shopping,Retail Chain,Credit Card
2024-04-19,TXN-110,-67.89,88270.31,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-04-20,TXN-111,-45.67,88224.64,Fast Food Lunch,Food & Dining,Burger Chain,Cash
2024-04-21,TXN-112,-156.78,88067.86,Sporting Event,Entertainment,Stadium Tickets,Credit Card
2024-04-22,TXN-113,-89.23,87978.63,Gas Station,Transportation,Shell,Debit Card
2024-04-23,TXN-114,-234.56,87744.07,Outdoor Gear,Shopping,Sporting Goods,Credit Card
2024-04-24,TXN-115,-123.45,87620.62,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-04-25,TXN-116,-78.90,87541.72,Utilities Bill,Utilities,Gas Company,Auto Pay
2024-04-26,TXN-117,-167.89,87373.83,Weekend Getaway,Travel,Hotel & Dining,Credit Card
2024-04-27,TXN-118,-56.78,87317.05,Coffee Shop,Food & Dining,Local Coffee House,Cash
2024-04-28,TXN-119,-234.56,87082.49,Home Maintenance,Shopping,Hardware Store,Credit Card
2024-04-29,TXN-120,-89.23,86993.26,Car Insurance,Transportation,State Farm,Auto Pay
2024-04-30,TXN-121,2500.00,89493.26,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-05-01,TXN-122,-123.45,89369.81,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-05-02,TXN-123,-67.89,89301.92,Lunch Out,Food & Dining,Casual Dining,Credit Card
2024-05-03,TXN-124,-234.56,89067.36,Mother's Day Gifts,Shopping,Gift Shop,Credit Card
2024-05-04,TXN-125,-78.90,88988.46,Gas Station,Transportation,Chevron,Credit Card
2024-05-05,TXN-126,-156.78,88831.68,Weekend Activities,Entertainment,Theme Park,Credit Card
2024-05-06,TXN-127,-45.67,88786.01,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-05-07,TXN-128,-1200.00,87586.01,Rent Payment,Housing,Apartment Complex,Bank Transfer
2024-05-08,TXN-129,-189.23,87396.78,Summer Clothes,Shopping,Fashion Store,Credit Card
2024-05-09,TXN-130,-89.23,87307.55,Internet Bill,Utilities,Cable Company,Auto Pay
2024-05-10,TXN-131,-123.45,87184.10,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-05-11,TXN-132,-56.78,87127.32,Coffee & Snacks,Food & Dining,Starbucks,Credit Card
2024-05-12,TXN-133,-234.56,86892.76,Mother's Day Celebration,Food & Dining,Fine Dining,Credit Card
2024-05-13,TXN-134,-78.90,86813.86,Phone Accessories,Shopping,Electronics Store,Credit Card
2024-05-14,TXN-135,-167.89,86645.97,Date Night Out,Food & Dining,Rooftop Restaurant,Credit Card
2024-05-15,TXN-136,2500.00,89145.97,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-05-16,TXN-137,-123.45,89022.52,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-05-17,TXN-138,-89.23,88933.29,Gas Station,Transportation,Shell,Debit Card
2024-05-18,TXN-139,-234.56,88698.73,Garden Supplies,Shopping,Garden Center,Credit Card
2024-05-19,TXN-140,-67.89,88630.84,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-05-20,TXN-141,-45.67,88585.17,Quick Breakfast,Food & Dining,Coffee Shop,Cash
2024-05-21,TXN-142,-156.78,88428.39,Fitness Equipment,Health & Fitness,Gym Store,Credit Card
2024-05-22,TXN-143,-78.90,88349.49,Utilities Bill,Utilities,Water Company,Auto Pay
2024-05-23,TXN-144,-234.56,88114.93,Memorial Day BBQ,Food & Dining,Grocery & Supplies,Credit Card
2024-05-24,TXN-145,-123.45,87991.48,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-05-25,TXN-146,-89.23,87902.25,Car Wash,Transportation,Auto Service,Cash
2024-05-26,TXN-147,-167.89,87734.36,Holiday Weekend,Food & Dining,BBQ Restaurant,Credit Card
2024-05-27,TXN-148,-56.78,87677.58,Coffee Shop,Food & Dining,Local Coffee House,Cash
2024-05-28,TXN-149,-234.56,87443.02,Summer Prep Shopping,Shopping,Department Store,Credit Card
2024-05-29,TXN-150,-78.90,87364.12,Phone Bill,Utilities,Verizon,Auto Pay
2024-05-30,TXN-151,2500.00,89864.12,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-05-31,TXN-152,-345.67,89518.45,Emergency Fund Deposit,Savings,High Yield Savings,Bank Transfer
2024-06-01,TXN-153,-123.45,89395.00,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-06-02,TXN-154,-67.89,89327.11,Father's Day Planning,Shopping,Gift Store,Credit Card
2024-06-03,TXN-155,-234.56,89092.55,Summer Vacation Prep,Travel,Travel Agency,Credit Card
2024-06-04,TXN-156,-89.23,89003.32,Gas Station,Transportation,Chevron,Credit Card
2024-06-05,TXN-157,-156.78,88846.54,Summer Activities,Entertainment,Concert Tickets,Credit Card
2024-06-06,TXN-158,-45.67,88800.87,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-06-07,TXN-159,-1200.00,87600.87,Rent Payment,Housing,Apartment Complex,Bank Transfer
2024-06-08,TXN-160,-189.23,87411.64,Summer Wardrobe,Shopping,Clothing Store,Credit Card
2024-06-09,TXN-161,-78.90,87332.74,Car Payment,Transportation,Honda Finance,Auto Pay
2024-06-10,TXN-162,-123.45,87209.29,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-06-11,TXN-163,-56.78,87152.51,Coffee & Pastry,Food & Dining,Starbucks,Credit Card
2024-06-12,TXN-164,-234.56,86917.95,Dental Appointment,Healthcare,Dentist Office,Credit Card
2024-06-13,TXN-165,-89.23,86828.72,Subscription Renewal,Entertainment,Netflix,Credit Card
2024-06-14,TXN-166,-167.89,86660.83,Father's Day Dinner,Food & Dining,Steakhouse,Credit Card
2024-06-15,TXN-167,2500.00,89160.83,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-06-16,TXN-168,-123.45,89037.38,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-06-17,TXN-169,-78.90,88958.48,Internet Bill,Utilities,Internet Provider,Auto Pay
2024-06-18,TXN-170,-234.56,88723.92,Summer Electronics,Shopping,Best Buy,Credit Card
2024-06-19,TXN-171,-67.89,88656.03,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-06-20,TXN-172,-45.67,88610.36,Lunch Meeting,Food & Dining,Business Lunch,Credit Card
2024-06-21,TXN-173,-156.78,88453.58,Summer Recreation,Entertainment,Amusement Park,Credit Card
2024-06-22,TXN-174,-89.23,88364.35,Gas Station,Transportation,Shell,Debit Card
2024-06-23,TXN-175,-234.56,88129.79,Outdoor Equipment,Shopping,Outdoor Store,Credit Card
2024-06-24,TXN-176,-123.45,88006.34,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-06-25,TXN-177,-78.90,87927.44,Utilities Bill,Utilities,Electric Company,Auto Pay
2024-06-26,TXN-178,-167.89,87759.55,Summer Vacation,Travel,Hotel Booking,Credit Card
2024-06-27,TXN-179,-56.78,87702.77,Coffee Shop,Food & Dining,Local Coffee House,Cash
2024-06-28,TXN-180,-234.56,87468.21,Home Summer Prep,Shopping,Home Improvement,Credit Card
2024-06-29,TXN-181,-89.23,87378.98,Car Insurance,Transportation,State Farm,Auto Pay
2024-06-30,TXN-182,2500.00,89878.98,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-07-01,TXN-183,-123.45,89755.53,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-07-02,TXN-184,-67.89,89687.64,Summer BBQ Supplies,Food & Dining,Grocery Store,Credit Card
2024-07-03,TXN-185,-234.56,89453.08,July 4th Celebration,Entertainment,Party Supplies,Credit Card
2024-07-04,TXN-186,-156.78,89296.30,Independence Day,Food & Dining,BBQ Restaurant,Credit Card
2024-07-05,TXN-187,-89.23,89207.07,Gas Station,Transportation,Chevron,Credit Card
2024-07-06,TXN-188,-45.67,89161.40,Grocery Shopping,Food & Dining,Safeway,Debit Card
2024-07-07,TXN-189,-1200.00,87961.40,Rent Payment,Housing,Apartment Complex,Bank Transfer
2024-07-08,TXN-190,-189.23,87772.17,Summer Fashion,Shopping,Mall Department Store,Credit Card
2024-07-09,TXN-191,-78.90,87693.27,Phone Bill,Utilities,Mobile Carrier,Auto Pay
2024-07-10,TXN-192,-123.45,87569.82,Grocery Shopping,Food & Dining,Trader Joe's,Debit Card
2024-07-11,TXN-193,-56.78,87513.04,Coffee & Breakfast,Food & Dining,Starbucks,Credit Card
2024-07-12,TXN-194,-234.56,87278.48,Summer Sports,Entertainment,Sports Equipment,Credit Card
2024-07-13,TXN-195,-89.23,87189.25,Subscription Service,Entertainment,Amazon Prime,Credit Card
2024-07-14,TXN-196,-167.89,87021.36,Summer Date Night,Food & Dining,Outdoor Dining,Credit Card
2024-07-15,TXN-197,2500.00,89521.36,Salary Deposit,Income,Acme Corp,Direct Deposit
2024-07-16,TXN-198,-123.45,89397.91,Grocery Shopping,Food & Dining,Whole Foods Market,Credit Card
2024-07-17,TXN-199,-78.90,89319.01,Utilities Bill,Utilities,Gas Company,Auto Pay
2024-07-18,TXN-200,-234.56,89084.45,Summer Vacation Planning,Travel,Travel Booking,Credit Card
